qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
0.022027015686035156,0.033679962158203125,0.0331881046295166,0.02992725372314453,0.032608985900878906,0.03578495979309082,0.016225099563598633
0.022749900817871094,0.03216695785522461,0.03177905082702637,0.03287220001220703,0.0319368839263916,0.0360560417175293,0.01621413230895996
0.022117137908935547,0.033212900161743164,0.03093576431274414,0.029500246047973633,0.031813859939575195,0.035965919494628906,0.016157865524291992
0.020922183990478516,0.03182196617126465,0.033080101013183594,0.03319191932678223,0.03261280059814453,0.035839080810546875,0.016723155975341797
0.022450923919677734,0.03240489959716797,0.035696983337402344,0.03215503692626953,0.03144097328186035,0.03684186935424805,0.016408681869506836
0.021299123764038086,0.03243589401245117,0.03151893615722656,0.032621145248413086,0.03201580047607422,0.036031246185302734,0.016338825225830078
0.025660991668701172,0.03378629684448242,0.03090691566467285,0.030098915100097656,0.033144235610961914,0.03575706481933594,0.01634502410888672
0.021129846572875977,0.032239675521850586,0.0347592830657959,0.03281092643737793,0.03186678886413574,0.03623700141906738,0.01633000373840332
0.020969867706298828,0.031996965408325195,0.03228902816772461,0.030366897583007812,0.03354287147521973,0.035733938217163086,0.01633596420288086
0.021657705307006836,0.033190250396728516,0.03183102607727051,0.03359484672546387,0.03209996223449707,0.03578639030456543,0.01633620262145996
0.021106958389282227,0.03140997886657715,0.033655643463134766,0.03420901298522949,0.031793832778930664,0.03607916831970215,0.017190217971801758
0.02075791358947754,0.0340578556060791,0.03239297866821289,0.031111955642700195,0.03179287910461426,0.03572893142700195,0.016199111938476562
0.020869970321655273,0.03306984901428223,0.030904054641723633,0.0341341495513916,0.03169608116149902,0.0359501838684082,0.01618218421936035
0.021676063537597656,0.03373312950134277,0.032258033752441406,0.0319061279296875,0.03149080276489258,0.03691291809082031,0.01617908477783203
0.02126908302307129,0.033502817153930664,0.03259778022766113,0.03155207633972168,0.03221392631530762,0.035794734954833984,0.01619887351989746
0.021375179290771484,0.03195810317993164,0.032253265380859375,0.030904054641723633,0.033663034439086914,0.03577017784118652,0.016961097717285156
0.021167278289794922,0.03331398963928223,0.03307318687438965,0.031980037689208984,0.032366037368774414,0.0360560417175293,0.016615867614746094
0.02098989486694336,0.033110857009887695,0.03284096717834473,0.03189682960510254,0.032382965087890625,0.035761356353759766,0.01636791229248047
0.02063894271850586,0.03268909454345703,0.03247189521789551,0.03038787841796875,0.0326080322265625,0.036715030670166016,0.01634812355041504
0.02117300033569336,0.03287816047668457,0.03304719924926758,0.031150102615356445,0.03307509422302246,0.03621315956115723,0.016427040100097656
0.02070784568786621,0.03194594383239746,0.03278183937072754,0.030866146087646484,0.03201413154602051,0.0377202033996582,0.016410112380981445
0.0205078125,0.033193111419677734,0.031161069869995117,0.03233790397644043,0.03214311599731445,0.037358999252319336,0.016344070434570312
0.021052837371826172,0.03401994705200195,0.032859086990356445,0.03425312042236328,0.03464818000793457,0.03591203689575195,0.016554832458496094
0.021277189254760742,0.033406972885131836,0.03331303596496582,0.03528094291687012,0.03205990791320801,0.03584003448486328,0.016366004943847656
0.021311044692993164,0.0340578556060791,0.034886837005615234,0.033669233322143555,0.031037330627441406,0.03598594665527344,0.016367197036743164
0.02122211456298828,0.03213095664978027,0.03233194351196289,0.03034496307373047,0.03177905082702637,0.0359652042388916,0.016360998153686523
0.021205902099609375,0.032582759857177734,0.03255867958068848,0.03546714782714844,0.03135395050048828,0.03582119941711426,0.0163724422454834
0.020963191986083984,0.03248786926269531,0.031071901321411133,0.033010005950927734,0.031991004943847656,0.03681302070617676,0.01637411117553711
0.022387027740478516,0.032688140869140625,0.03664398193359375,0.03288388252258301,0.03300905227661133,0.035971879959106445,0.016582250595092773
