cpu_freq,cpu_percent,sys_load_1,temperature,timestamp
1652.9855,0.0819,0.67,38,2018-05-10 00:00:34.102496
1751.2383750000001,0.0746,0.59,38,2018-05-10 00:01:34.106931
1644.1403750000002,0.0564,0.6000000000000001,40,2018-05-10 00:02:34.111049
1827.4426250000001,0.0925,0.61,40,2018-05-10 00:03:34.115387
1797.2771249999998,0.0794,0.46,39,2018-05-10 00:04:34.119495
2115.837125,0.105,1.03,39,2018-05-10 00:05:34.123510
1674.7881249999998,0.0746,1.6800000000000002,40,2018-05-10 00:06:34.127105
1616.68275,0.032400000000000005,1.16,38,2018-05-10 00:07:34.130987
1962.3165,0.12210000000000001,1.45,40,2018-05-10 00:08:34.134975
3340.4986250000006,0.1264,0.93,43,2018-05-10 00:09:34.139116
1700.142375,0.1024,0.89,38,2018-05-10 00:10:34.143925
1798.173,0.0965,0.58,39,2018-05-10 00:11:34.148410
1780.47775,0.1378,0.8,41,2018-05-10 00:12:34.152373
1663.1365,0.083,0.63,41,2018-05-10 00:13:34.156271
1669.906375,0.092,0.78,42,2018-05-10 00:14:34.160362
1839.1412500000001,0.0895,1.03,39,2018-05-10 00:15:34.164712
1878.9299999999998,0.10039999999999999,1.13,41,2018-05-10 00:16:34.168885
1781.813375,0.1643,1.11,42,2018-05-10 00:17:34.172822
1773.7322499999998,0.1222,0.8300000000000001,40,2018-05-10 00:18:34.177300
3752.729625,0.32770000000000005,1.56,49,2018-05-10 00:19:34.181473
3576.6375000000003,0.1754,1.35,43,2018-05-10 00:20:34.188217
2436.145,0.0291,0.87,39,2018-05-10 00:21:34.192335
1605.0535,0.0315,0.43,38,2018-05-10 00:22:34.196461
1670.870625,0.0174,0.47000000000000003,38,2018-05-10 00:23:34.200561
1626.221625,0.0151,0.30000000000000004,38,2018-05-10 00:24:34.204558
1621.319375,0.0164,0.22,39,2018-05-10 00:25:34.208543
1604.9213750000001,0.016200000000000003,0.08,37,2018-05-10 00:26:34.212714
1744.104625,0.0151,0.14,38,2018-05-10 00:27:34.216949
1605.071,0.0164,0.08,37,2018-05-10 00:28:34.221004
1604.7196250000002,0.0176,0.03,37,2018-05-10 00:29:34.225251
1604.9795000000001,0.0189,0.01,37,2018-05-10 00:30:34.229442
3085.0485000000003,0.041100000000000005,0.0,37,2018-05-10 00:31:34.233660
1654.9347500000001,0.013900000000000001,0.13,37,2018-05-10 00:32:34.237856
1743.12075,0.0174,0.29,37,2018-05-10 00:33:34.242192
1604.665375,0.013900000000000001,0.25,37,2018-05-10 00:34:34.246336
1625.19625,0.0176,0.17,37,2018-05-10 00:35:34.250498
1605.037875,0.013999999999999999,0.06,37,2018-05-10 00:36:34.254709
