cpu_freq,cpu_percent,fan_rpm,sys_load_1,temperature,timestamp
2261.232375,7.73,700.0,1.03,39,2018-05-09 17:54:12.548472
1879.2011250000003,9.66,712.0,1.03,40,2018-05-09 17:54:22.549382
1604.629,1.62,704.0,0.9500000000000001,40,2018-05-09 17:54:32.550049
1609.5575,7.29,715.0,0.8,39,2018-05-09 17:54:42.550741
2198.60525,4.33,707.0,0.75,43,2018-05-09 17:54:52.551597
1604.9196249999998,2.49,704.0,0.64,39,2018-05-09 17:55:02.552188
1605.015625,1.6099999999999999,698.0,0.54,40,2018-05-09 17:55:12.552873
1722.35875,10.06,707.0,0.53,40,2018-05-09 17:55:22.553760
1604.903625,1.75,711.0,0.6000000000000001,40,2018-05-09 17:55:32.554610
1616.3131250000001,1.73,706.0,0.51,39,2018-05-09 17:55:42.555305
1604.93175,1.12,708.0,0.43,39,2018-05-09 17:55:52.556070
1604.972375,2.38,702.0,0.36,39,2018-05-09 17:56:02.556762
1619.650125,1.26,705.0,0.31,39,2018-05-09 17:56:12.557646
1608.0929999999998,1.6400000000000001,710.0,0.34,38,2018-05-09 17:56:22.558345
1623.875,2.0,710.0,0.36,40,2018-05-09 17:56:32.559053
1612.0826250000002,1.38,702.0,0.38,40,2018-05-09 17:56:42.559891
1623.1967499999998,2.5,697.0,0.4,38,2018-05-09 17:56:52.560597
1614.7108750000002,2.73,697.0,0.41000000000000003,39,2018-05-09 17:57:02.561306
1604.8507499999998,1.5,702.0,0.42,38,2018-05-09 17:57:12.562025
1604.933375,3.76,709.0,0.43,39,2018-05-09 17:57:22.562747
1604.8445000000002,1.49,702.0,0.36,38,2018-05-09 17:57:32.563412
1760.21975,2.34,698.0,0.31,38,2018-05-09 17:57:42.564116
1620.9175,1.49,704.0,0.26,39,2018-05-09 17:57:52.564816
1625.024875,1.74,700.0,0.22,39,2018-05-09 17:58:02.565543
1604.889625,0.88,696.0,0.18,38,2018-05-09 17:58:12.566259
1613.6591250000001,1.1,688.0,0.24,38,2018-05-09 17:58:22.566917
1711.512,1.75,700.0,1.08,38,2018-05-09 17:58:32.567635
1604.7959999999998,1.12,695.0,1.0,38,2018-05-09 17:58:42.568340
1605.9434999999999,2.6,706.0,0.92,39,2018-05-09 17:58:52.569075
1613.529,2.24,699.0,0.86,38,2018-05-09 17:59:02.569781
1610.812625,1.74,689.0,0.73,39,2018-05-09 17:59:12.570504
1633.1467499999999,1.25,693.0,0.61,39,2018-05-09 17:59:22.571204
1606.22575,1.38,698.0,0.59,38,2018-05-09 17:59:32.571896
1604.8445000000002,1.8599999999999999,700.0,0.5,38,2018-05-09 17:59:42.572730
1654.325625,1.75,694.0,0.42,38,2018-05-09 17:59:52.573526
2668.018,7.99,698.0,0.43,38,2018-05-09 18:00:02.574347
1709.549375,1.38,692.0,0.45,38,2018-05-09 18:00:12.575061
1617.244625,2.11,691.0,0.45,38,2018-05-09 18:00:22.575765
1674.5845,1.74,688.0,0.38,37,2018-05-09 18:00:32.576642
1604.869375,2.0,688.0,0.32,38,2018-05-09 18:00:42.577376
1604.8478750000002,1.6099999999999999,690.0,0.27,38,2018-05-09 18:00:52.578088
1604.8371249999998,1.8599999999999999,697.0,0.23,38,2018-05-09 18:01:02.578759
1618.0275,1.62,694.0,0.27,38,2018-05-09 18:01:12.579466
1604.860375,1.6099999999999999,690.0,0.23,38,2018-05-09 18:01:22.580167
1789.40725,0.88,689.0,0.27,38,2018-05-09 18:01:32.580841
1613.579375,2.09,683.0,0.30000000000000004,37,2018-05-09 18:01:42.581537
1640.2035000000003,1.0,678.0,0.25,38,2018-05-09 18:01:52.582218
1604.9044999999999,1.5,677.0,0.21,38,2018-05-09 18:02:02.582943
1604.9472500000002,1.73,678.0,0.26,38,2018-05-09 18:02:12.583716
1605.752875,2.38,677.0,0.22,38,2018-05-09 18:02:22.584424
1616.0485,1.25,688.0,0.18,38,2018-05-09 18:02:32.585301
1756.907375,1.75,689.0,0.16,37,2018-05-09 18:02:42.586008
1604.873,1.49,694.0,0.21,38,2018-05-09 18:02:52.586865
1604.8882500000002,1.38,689.0,0.25,38,2018-05-09 18:03:02.587570
1604.8751249999998,1.3599999999999999,685.0,0.21,38,2018-05-09 18:03:12.588250
1842.50825,1.88,680.0,0.26,37,2018-05-09 18:03:22.588951
1615.9199999999998,1.38,679.0,0.30000000000000004,37,2018-05-09 18:03:32.589637
1604.8590000000002,2.24,676.0,0.32,38,2018-05-09 18:03:42.590335
1608.3246250000002,1.49,683.0,0.27,37,2018-05-09 18:03:52.591152
1613.3095,2.75,674.0,0.23,37,2018-05-09 18:04:02.591880
1626.5483749999999,1.85,672.0,0.27,37,2018-05-09 18:04:12.592584
1604.896,1.3599999999999999,678.0,0.23,38,2018-05-09 18:04:22.593300
1617.72275,1.38,676.0,0.19,37,2018-05-09 18:04:32.594083
1708.653875,1.6099999999999999,677.0,0.24,37,2018-05-09 18:04:42.594752
1628.68375,1.62,682.0,0.2,37,2018-05-09 18:04:52.595444
1654.045,1.75,677.0,0.24,38,2018-05-09 18:05:02.596182
1730.8625,1.12,672.0,0.2,39,2018-05-09 18:05:12.596887
1637.4685,1.75,685.0,0.4,38,2018-05-09 18:05:22.597627
1645.786125,3.38,678.0,0.34,38,2018-05-09 18:05:32.598433
1605.75075,2.35,683.0,0.29,39,2018-05-09 18:05:42.599038
1914.39675,3.49,684.0,0.24,38,2018-05-09 18:05:52.599601
1604.910625,1.6099999999999999,710.0,0.2,37,2018-05-09 18:06:02.600498
1604.8395,1.25,680.0,0.17,38,2018-05-09 18:06:12.601219
1604.9754999999998,1.3599999999999999,690.0,0.22,38,2018-05-09 18:06:22.601947
1604.8947500000002,1.12,691.0,0.18,37,2018-05-09 18:06:32.602687
1642.6373750000002,2.0,686.0,0.16,38,2018-05-09 18:06:42.603525
1604.887875,1.38,679.0,0.13,37,2018-05-09 18:06:52.604327
1604.869875,1.5,678.0,0.11,38,2018-05-09 18:07:02.605072
1604.936,1.5,678.0,0.09,37,2018-05-09 18:07:12.605958
1604.913375,2.88,673.0,0.16,37,2018-05-09 18:07:22.606701
1742.9133749999999,1.0,678.0,0.13,36,2018-05-09 18:07:32.607512
1604.8375,1.62,683.0,0.11,36,2018-05-09 18:07:42.608245
1604.8212500000002,1.6099999999999999,683.0,0.1,37,2018-05-09 18:07:52.609002
1614.4001250000001,1.38,674.0,0.08,37,2018-05-09 18:08:02.609683
1604.879,1.25,678.0,0.07,37,2018-05-09 18:08:12.610425
1604.800125,1.25,685.0,0.06,37,2018-05-09 18:08:22.611105
1642.1626250000002,1.62,678.0,0.13,36,2018-05-09 18:08:32.611810
1607.975125,1.62,678.0,0.11,37,2018-05-09 18:08:42.612490
1730.3255000000001,1.49,673.0,0.16,37,2018-05-09 18:08:52.613175
1644.172625,1.99,674.0,0.30000000000000004,36,2018-05-09 18:09:02.613884
1604.9378749999998,1.75,677.0,0.25,36,2018-05-09 18:09:12.614731
1623.9403750000001,1.12,688.0,0.21,37,2018-05-09 18:09:22.615439
1604.949,2.24,676.0,0.25,36,2018-05-09 18:09:32.616181
1619.6225000000002,1.38,680.0,0.21,36,2018-05-09 18:09:42.616847
1615.29625,1.8599999999999999,674.0,0.18,38,2018-05-09 18:09:52.617534
2693.663875,7.47,684.0,0.15,37,2018-05-09 18:10:02.618401
1604.96575,1.38,674.0,0.13,37,2018-05-09 18:10:12.619113
1608.813125,1.85,672.0,0.11,37,2018-05-09 18:10:22.619862
1640.05575,1.75,665.0,0.09,36,2018-05-09 18:10:32.620566
1638.2804999999998,1.62,666.0,0.16,37,2018-05-09 18:10:42.621296
1612.7435,1.49,664.0,0.13,37,2018-05-09 18:10:52.622085
1631.591125,1.5,663.0,0.11,36,2018-05-09 18:11:02.622764
1610.9692499999999,1.25,666.0,0.09,38,2018-05-09 18:11:12.623441
1617.2078749999996,1.62,659.0,0.08,37,2018-05-09 18:11:22.624149
1604.9931250000002,1.5,663.0,0.07,37,2018-05-09 18:11:32.624888
1628.954625,2.0,669.0,0.2,36,2018-05-09 18:11:42.625495
1636.552875,1.5,661.0,0.17,37,2018-05-09 18:11:52.626195
1630.6465,1.6099999999999999,664.0,0.15,38,2018-05-09 18:12:02.626907
1632.692,2.46,659.0,0.12,37,2018-05-09 18:12:12.627607
1613.2413749999998,2.35,663.0,0.26,37,2018-05-09 18:12:22.628320
1633.17825,1.3599999999999999,664.0,0.22,37,2018-05-09 18:12:32.629030
1650.4308749999998,1.5,671.0,0.26,37,2018-05-09 18:12:42.629767
1612.524,1.62,664.0,0.22,37,2018-05-09 18:12:52.630491
1630.659,1.6099999999999999,665.0,0.18,36,2018-05-09 18:13:02.631188
1688.84875,1.38,666.0,0.16,37,2018-05-09 18:13:12.631905
1772.790875,1.25,669.0,0.13,37,2018-05-09 18:13:22.632592
1843.411875,0.88,672.0,0.11,36,2018-05-09 18:13:32.633302
1695.777,2.45,667.0,0.09,36,2018-05-09 18:13:42.633981
1703.3096249999999,1.73,667.0,0.08,37,2018-05-09 18:13:52.634709
1606.6416250000002,1.62,667.0,0.22,38,2018-05-09 18:14:02.635408
1638.23025,2.0,664.0,0.19,37,2018-05-09 18:14:12.636116
1656.6998750000002,0.88,662.0,0.16,36,2018-05-09 18:14:22.636851
1788.958125,1.99,662.0,0.13,37,2018-05-09 18:14:32.637565
1716.332875,1.62,671.0,0.11,37,2018-05-09 18:14:42.638267
1787.2013749999999,1.74,682.0,0.09,36,2018-05-09 18:14:52.639012
1725.81675,1.62,666.0,0.15,37,2018-05-09 18:15:02.639729
1696.568,1.38,669.0,0.13,37,2018-05-09 18:15:12.640432
1752.3697499999998,2.0,659.0,0.11,37,2018-05-09 18:15:22.641130
1807.536875,1.38,668.0,0.17,37,2018-05-09 18:15:32.641879
1917.2800000000002,1.5,665.0,0.14,37,2018-05-09 18:15:42.642589
1755.949,0.88,658.0,0.12,36,2018-05-09 18:15:52.643298
1793.3625,1.74,667.0,0.1,37,2018-05-09 18:16:02.644019
1801.015,2.12,663.0,0.08,36,2018-05-09 18:16:12.644718
1830.66825,1.25,664.0,0.07,37,2018-05-09 18:16:22.645539
1871.2415,1.88,671.0,0.06,38,2018-05-09 18:16:32.646273
1851.4076249999998,1.0,681.0,0.05,37,2018-05-09 18:16:42.646974
1872.2867500000002,1.38,682.0,0.04,37,2018-05-09 18:16:52.647691
2259.82675,1.6099999999999999,678.0,0.03,37,2018-05-09 18:17:02.648400
